FOV_deg,SINR_dB_asiento1,SINR_dB_asiento2,SINR_dB_asiento3,SINR_dB_asiento4,SINR_prom_dB,SINR_min_dB
5.0,18.6443,19.0091,18.4483,19.0146,18.7791,18.4483
10.0,18.5532,19.0632,18.7022,18.9070,18.8064,18.5532
20.0,18.7070,18.9388,18.5075,19.0115,18.7912,18.5075
30.0,18.6767,18.9222,18.6451,18.9298,18.7935,18.6451
40.0,18.6391,18.9900,18.6618,19.0091,18.8250,18.6391
50.0,18.5675,18.9797,18.5232,18.9486,18.7548,18.5232
60.0,18.7093,18.8946,18.6145,18.9009,18.7798,18.6145
70.0,18.6763,18.9498,18.6769,18.8219,18.7812,18.6763
80.0,18.5856,18.9105,18.7926,19.0385,18.8318,18.5856
90.0,18.4502,18.8450,18.6149,18.9300,18.7100,18.4502
