FOV_deg,SINR_dB_asiento1,SINR_dB_asiento2,SINR_dB_asiento3,SINR_dB_asiento4,SINR_prom_dB,SINR_min_dB
5.0,16.4359,22.5765,21.5060,16.2466,19.1913,16.2466
10.0,16.4895,22.7102,21.3655,16.4621,19.2568,16.4621
20.0,16.4638,22.6768,21.4431,16.3369,19.2301,16.3369
30.0,16.5050,22.5851,21.4481,16.3640,19.2255,16.3640
40.0,16.5231,22.5532,21.5505,16.2837,19.2276,16.2837
50.0,16.5596,22.5406,21.4659,16.3250,19.2228,16.3250
60.0,16.4964,22.4750,21.4153,16.3294,19.1790,16.3294
70.0,16.4923,22.6937,21.6160,16.2844,19.2716,16.2844
80.0,16.5398,22.7404,21.4656,16.3512,19.2742,16.3512
90.0,16.4906,22.6046,21.4731,16.2703,19.2097,16.2703
