FOV_deg,SINR_dB_asiento1,SINR_dB_asiento2,SINR_dB_asiento3,SINR_dB_asiento4,SINR_prom_dB,SINR_min_dB
5.0,-63.6995,51.1543,22.4067,16.4145,6.5690,-63.6995
10.0,-57.6619,46.9736,22.1899,16.3400,6.9604,-57.6619
20.0,-inf,48.3652,22.0132,16.3989,-inf,-inf
30.0,-inf,48.8024,22.1371,16.4484,-inf,-inf
40.0,-57.7016,51.1634,22.1633,16.2695,7.9736,-57.7016
50.0,-inf,49.2878,22.0568,16.3536,-inf,-inf
60.0,-57.8363,47.5464,22.0019,16.4030,7.0288,-57.8363
70.0,-63.7335,47.3562,22.0727,16.4577,5.5383,-63.7335
80.0,-57.7748,49.0415,21.9730,16.3922,7.4080,-57.7748
90.0,-63.8010,47.7428,22.3380,16.5443,5.7060,-63.8010
