FOV_deg,SINR_dB_asiento1,SINR_dB_asiento2,SINR_dB_asiento3,SINR_dB_asiento4,SINR_prom_dB,SINR_min_dB
5.0,-55.6781,44.9900,27.8293,14.0789,7.8050,-55.6781
10.0,-59.2616,44.4738,28.4110,14.0864,6.9274,-59.2616
20.0,-65.1823,46.2019,28.5034,14.0845,5.9018,-65.1823
30.0,-55.6207,44.4988,28.2003,14.1294,7.8020,-55.6207
40.0,-65.1775,45.8488,28.1276,14.0331,5.7080,-65.1775
50.0,-65.1919,44.5006,28.2142,14.0294,5.3881,-65.1919
60.0,-59.2474,45.1536,28.4635,14.0631,7.1082,-59.2474
70.0,-65.2585,45.1526,28.1074,14.1161,5.5294,-65.2585
80.0,-53.1650,43.3445,28.2801,14.1019,8.1404,-53.1650
90.0,-65.2632,47.0114,28.5145,14.0844,6.0868,-65.2632
