FOV_deg,SINR_dB_asiento6,SINR_dB_asiento7,SINR_dB_asiento8,SINR_dB_asiento9,SINR_prom_dB,SINR_min_dB
5.0,18.4566,18.8932,18.5364,18.8474,18.6834,18.4566
10.0,18.5066,18.8404,18.5792,19.0012,18.7318,18.5066
20.0,18.3209,18.8707,18.4303,18.9686,18.6476,18.3209
30.0,18.2660,18.9647,18.3969,19.0552,18.6707,18.2660
40.0,18.3533,18.9716,18.5612,18.8380,18.6810,18.3533
50.0,18.4732,18.9544,18.5980,18.9791,18.7512,18.4732
60.0,18.4740,18.8874,18.5996,18.8733,18.7086,18.4740
70.0,18.4769,18.9568,18.5086,18.8828,18.7063,18.4769
80.0,18.3490,18.9436,18.5063,18.8550,18.6635,18.3490
90.0,18.4212,19.0171,18.5948,18.7557,18.6972,18.4212
